"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.483932140","192.168.1.68","178.135.6.12","TCP","66","40442  >  443 [ACK] Seq=1 Ack=1 Win=450 Len=0 TSval=1967934203 TSecr=849739781"
"3","0.506424316","178.135.6.12","192.168.1.68","TCP","66","[TCP ACKed unseen segment] 443  >  40442 [ACK] Seq=1 Ack=2 Win=22 Len=0 TSval=849750021 TSecr=1967913793"
"4","2.371613318","192.168.1.68","172.217.19.142","TLSv1.2","634","Application Data"
"5","2.401151781","172.217.19.142","192.168.1.68","TCP","66","443  >  40176 [ACK] Seq=1 Ack=569 Win=24 Len=0 TSval=849751915 TSecr=1507313609"
"6","2.403218175","192.168.1.68","178.135.6.13","TLSv1.2","1360","Application Data"
"7","2.437920353","178.135.6.13","192.168.1.68","TCP","66","443  >  38900 [ACK] Seq=1 Ack=1295 Win=22 Len=0 TSval=849751952 TSecr=2938439097"
"8","2.440718055","178.135.6.13","192.168.1.68","TLSv1.2","1506","Application Data"
"9","2.440747877","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=1441 Win=494 Len=0 TSval=2938439135 TSecr=849751953"
"10","2.442597764","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=1441 Ack=1295 Win=22 Len=1440 TSval=849751953 TSecr=2938439097 [TCP segment of a reassembled PDU]"
"11","2.442613967","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=2881 Win=493 Len=0 TSval=2938439136 TSecr=849751953"
"12","2.443008291","178.135.6.13","192.168.1.68","TCP","389","443  >  38900 [PSH, ACK] Seq=2881 Ack=1295 Win=22 Len=323 TSval=849751953 TSecr=2938439097 [TCP segment of a reassembled PDU]"
"13","2.443018906","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=3204 Win=493 Len=0 TSval=2938439137 TSecr=849751953"
"14","2.463271063","172.217.19.142","192.168.1.68","TLSv1.2","133","Application Data"
"15","2.463367025","172.217.19.142","192.168.1.68","TLSv1.2","97","Application Data"
"16","2.463815126","172.217.19.142","192.168.1.68","TLSv1.2","105","Application Data"
"17","2.464095888","192.168.1.68","172.217.19.142","TCP","66","40176  >  443 [ACK] Seq=569 Ack=138 Win=226 Len=0 TSval=1507313702 TSecr=849751977"
"18","2.464213711","192.168.1.68","172.217.19.142","TLSv1.2","105","Application Data"
"19","2.465507939","178.135.6.13","192.168.1.68","TCP","1183","443  >  38900 [ACK] Seq=3204 Ack=1295 Win=22 Len=1117 TSval=849751978 TSecr=2938439135 [TCP segment of a reassembled PDU]"
"20","2.465546562","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=4321 Win=492 Len=0 TSval=2938439159 TSecr=849751978"
"21","2.467114289","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=4321 Ack=1295 Win=22 Len=1440 TSval=849751978 TSecr=2938439135 [TCP segment of a reassembled PDU]"
"22","2.467159756","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=5761 Win=491 Len=0 TSval=2938439161 TSecr=849751978"
"23","2.469025426","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=5761 Ack=1295 Win=22 Len=1440 TSval=849751980 TSecr=2938439137 [TCP segment of a reassembled PDU]"
"24","2.469069007","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=7201 Win=491 Len=0 TSval=2938439163 TSecr=849751980"
"25","2.470950321","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=7201 Ack=1295 Win=22 Len=1440 TSval=849751980 TSecr=2938439137 [TCP segment of a reassembled PDU]"
"26","2.470993134","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=8641 Win=491 Len=0 TSval=2938439165 TSecr=849751980"
"27","2.490678738","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=8641 Ack=1295 Win=22 Len=1440 TSval=849752003 TSecr=2938439159 [TCP segment of a reassembled PDU]"
"28","2.490716383","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=10081 Win=491 Len=0 TSval=2938439184 TSecr=849752003"
"29","2.491933995","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=10081 Ack=1295 Win=22 Len=1440 TSval=849752003 TSecr=2938439159 [TCP segment of a reassembled PDU]"
"30","2.491959767","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=11521 Win=491 Len=0 TSval=2938439186 TSecr=849752003"
"31","2.492038967","172.217.19.142","192.168.1.68","TCP","66","443  >  40176 [ACK] Seq=138 Ack=608 Win=24 Len=0 TSval=849752003 TSecr=1507313702"
"32","2.493875653","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=11521 Ack=1295 Win=22 Len=1440 TSval=849752004 TSecr=2938439161 [TCP segment of a reassembled PDU]"
"33","2.493894580","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=12961 Win=491 Len=0 TSval=2938439188 TSecr=849752004"
"34","2.495342250","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=12961 Ack=1295 Win=22 Len=1440 TSval=849752004 TSecr=2938439161 [TCP segment of a reassembled PDU]"
"35","2.495379406","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=14401 Win=491 Len=0 TSval=2938439189 TSecr=849752004"
"36","2.497464028","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=14401 Ack=1295 Win=22 Len=1440 TSval=849752006 TSecr=2938439163 [TCP segment of a reassembled PDU]"
"37","2.497501393","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=15841 Win=491 Len=0 TSval=2938439191 TSecr=849752006"
"38","2.499292683","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=15841 Ack=1295 Win=22 Len=1440 TSval=849752006 TSecr=2938439163 [TCP segment of a reassembled PDU]"
"39","2.499329629","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=17281 Win=491 Len=0 TSval=2938439193 TSecr=849752006"
"40","2.500759140","178.135.6.13","192.168.1.68","TLSv1.2","1506","Application Data [TCP segment of a reassembled PDU]"
"41","2.500792873","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=18721 Win=491 Len=0 TSval=2938439195 TSecr=849752008"
"42","2.502687598","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=18721 Ack=1295 Win=22 Len=1440 TSval=849752008 TSecr=2938439165 [TCP segment of a reassembled PDU]"
"43","2.502722309","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=20161 Win=491 Len=0 TSval=2938439196 TSecr=849752008"
"44","2.516496267","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=20161 Ack=1295 Win=22 Len=1440 TSval=849752029 TSecr=2938439186 [TCP segment of a reassembled PDU]"
"45","2.516535657","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=21601 Win=491 Len=0 TSval=2938439210 TSecr=849752029"
"46","2.518447632","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=21601 Ack=1295 Win=22 Len=1440 TSval=849752029 TSecr=2938439186 [TCP segment of a reassembled PDU]"
"47","2.520466674","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=23041 Ack=1295 Win=22 Len=1440 TSval=849752029 TSecr=2938439186 [TCP segment of a reassembled PDU]"
"48","2.520496985","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=24481 Win=491 Len=0 TSval=2938439214 TSecr=849752029"
"49","2.521959462","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=24481 Ack=1295 Win=22 Len=1440 TSval=849752029 TSecr=2938439186 [TCP segment of a reassembled PDU]"
"50","2.524005322","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=25921 Ack=1295 Win=22 Len=1440 TSval=849752031 TSecr=2938439188 [TCP segment of a reassembled PDU]"
"51","2.524029627","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=27361 Win=491 Len=0 TSval=2938439218 TSecr=849752029"
"52","2.525869596","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=27361 Ack=1295 Win=22 Len=1440 TSval=849752031 TSecr=2938439188 [TCP segment of a reassembled PDU]"
"53","2.527354910","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=28801 Ack=1295 Win=22 Len=1440 TSval=849752033 TSecr=2938439189 [TCP segment of a reassembled PDU]"
"54","2.527387247","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=30241 Win=491 Len=0 TSval=2938439221 TSecr=849752031"
"55","2.529314168","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=30241 Ack=1295 Win=22 Len=1440 TSval=849752033 TSecr=2938439189 [TCP segment of a reassembled PDU]"
"56","2.531317076","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=31681 Ack=1295 Win=22 Len=1440 TSval=849752035 TSecr=2938439191 [TCP segment of a reassembled PDU]"
"57","2.531356397","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=33121 Win=491 Len=0 TSval=2938439225 TSecr=849752033"
"58","2.532750010","178.135.6.13","192.168.1.68","TLSv1.2","1506","Application Data [TCP segment of a reassembled PDU]"
"59","2.534709826","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=34561 Ack=1295 Win=22 Len=1440 TSval=849752037 TSecr=2938439193 [TCP segment of a reassembled PDU]"
"60","2.534745166","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=36001 Win=491 Len=0 TSval=2938439229 TSecr=849752035"
"61","2.536201077","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=36001 Ack=1295 Win=22 Len=1440 TSval=849752037 TSecr=2938439193 [TCP segment of a reassembled PDU]"
"62","2.538236392","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=37441 Ack=1295 Win=22 Len=1440 TSval=849752038 TSecr=2938439195 [TCP segment of a reassembled PDU]"
"63","2.538279903","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=38881 Win=491 Len=0 TSval=2938439232 TSecr=849752037"
"64","2.540462862","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [PSH, ACK] Seq=38881 Ack=1295 Win=22 Len=1440 TSval=849752038 TSecr=2938439195 [TCP segment of a reassembled PDU]"
"65","2.541658335","178.135.6.13","192.168.1.68","TCP","1506","443  >  38900 [ACK] Seq=40321 Ack=1295 Win=22 Len=1440 TSval=849752040 TSecr=2938439196 [TCP segment of a reassembled PDU]"
"66","2.541680475","192.168.1.68","178.135.6.13","TCP","66","38900  >  443 [ACK] Seq=1295 Ack=41761 Win=491 Len=0 TSval=2938439235 TSecr=849752038"
