"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","184.162.145.57","192.168.0.111","UDP","1190","12136  >  14475 Len=1148"
"2","0.000097","192.168.0.111","184.162.145.57","UDP","130","14475  >  12136 Len=88"
"3","0.000323","184.162.145.57","192.168.0.111","UDP","1190","12136  >  14475 Len=1148"
"4","0.000323","184.162.145.57","192.168.0.111","UDP","303","12136  >  14475 Len=261"
"5","0.001274","184.162.145.57","192.168.0.111","UDP","1189","12136  >  14475 Len=1147"
"6","0.001539","184.162.145.57","192.168.0.111","UDP","1189","12136  >  14475 Len=1147"
"7","0.001788","184.162.145.57","192.168.0.111","UDP","1189","12136  >  14475 Len=1147"
"8","0.012102","192.168.0.111","184.162.145.57","UDP","89","14475  >  12136 Len=47"
"9","0.023090","192.168.0.111","184.162.145.57","UDP","131","14475  >  12136 Len=89"
"10","0.039273","184.162.145.57","192.168.0.111","UDP","1073","12136  >  14475 Len=1031"
"11","0.039454","192.168.0.111","184.162.145.57","UDP","297","14475  >  12136 Len=255"
"12","0.039960","184.162.145.57","192.168.0.111","UDP","1073","12136  >  14475 Len=1031"
"13","0.040046","192.168.0.111","184.162.145.57","UDP","130","14475  >  12136 Len=88"
"14","0.040229","184.162.145.57","192.168.0.111","UDP","1073","12136  >  14475 Len=1031"
"15","0.040756","184.162.145.57","192.168.0.111","UDP","1073","12136  >  14475 Len=1031"
"16","0.040994","184.162.145.57","192.168.0.111","UDP","1072","12136  >  14475 Len=1030"
"17","0.040994","184.162.145.57","192.168.0.111","UDP","284","12136  >  14475 Len=242"
"18","0.048377","184.162.145.57","192.168.0.111","UDP","257","12136  >  14475 Len=215"
"19","0.067242","184.162.145.57","192.168.0.111","UDP","1048","12136  >  14475 Len=1006"
"20","0.067432","184.162.145.57","192.168.0.111","UDP","1048","12136  >  14475 Len=1006"
"21","0.067669","184.162.145.57","192.168.0.111","UDP","1047","12136  >  14475 Len=1005"
"22","0.067669","184.162.145.57","192.168.0.111","UDP","1047","12136  >  14475 Len=1005"
"23","0.067860","192.168.0.111","184.162.145.57","UDP","133","14475  >  12136 Len=91"
"24","0.067957","184.162.145.57","192.168.0.111","UDP","1047","12136  >  14475 Len=1005"
"25","0.074549","184.162.145.57","192.168.0.111","UDP","239","12136  >  14475 Len=197"
"26","0.074803","192.168.0.111","184.162.145.57","UDP","409","14475  >  12136 Len=367"
"27","0.074828","192.168.0.111","184.162.145.57","UDP","835","14475  >  12136 Len=793"
"28","0.074841","192.168.0.111","184.162.145.57","UDP","835","14475  >  12136 Len=793"
"29","0.084764","192.168.0.111","184.162.145.57","UDP","89","14475  >  12136 Len=47"
"30","0.084809","192.168.0.111","184.162.145.57","UDP","835","14475  >  12136 Len=793"
"31","0.084829","192.168.0.111","184.162.145.57","UDP","835","14475  >  12136 Len=793"
"32","0.084843","192.168.0.111","184.162.145.57","UDP","834","14475  >  12136 Len=792"
"33","0.084860","192.168.0.111","184.162.145.57","UDP","130","14475  >  12136 Len=88"
"34","0.085246","184.162.145.57","192.168.0.111","UDP","1030","12136  >  14475 Len=988"
"35","0.085462","184.162.145.57","192.168.0.111","UDP","1030","12136  >  14475 Len=988"
"36","0.085700","184.162.145.57","192.168.0.111","UDP","1029","12136  >  14475 Len=987"
"37","0.086589","184.162.145.57","192.168.0.111","UDP","1029","12136  >  14475 Len=987"
"38","0.086812","184.162.145.57","192.168.0.111","UDP","1029","12136  >  14475 Len=987"
"39","0.092290","184.162.145.57","192.168.0.111","UDP","225","12136  >  14475 Len=183"
"40","0.101805","184.162.145.57","192.168.0.111","UDP","221","12136  >  14475 Len=179"
"41","0.101988","192.168.0.111","184.162.145.57","UDP","131","14475  >  12136 Len=89"
"42","0.123679","192.168.0.111","184.162.145.57","UDP","132","14475  >  12136 Len=90"
"43","0.127038","184.162.145.57","192.168.0.111","UDP","136","12136  >  14475 Len=94"
"44","0.135283","184.162.145.57","192.168.0.111","UDP","1008","12136  >  14475 Len=966"
"45","0.135465","184.162.145.57","192.168.0.111","UDP","1008","12136  >  14475 Len=966"
"46","0.143161","184.162.145.57","192.168.0.111","UDP","1008","12136  >  14475 Len=966"
"47","0.143161","184.162.145.57","192.168.0.111","UDP","1008","12136  >  14475 Len=966"
"48","0.143283","192.168.0.111","184.162.145.57","UDP","130","14475  >  12136 Len=88"
"49","0.143319","192.168.0.111","184.162.145.57","UDP","89","14475  >  12136 Len=47"
"50","0.143470","184.162.145.57","192.168.0.111","UDP","1007","12136  >  14475 Len=965"
"51","0.143470","184.162.145.57","192.168.0.111","UDP","139","12136  >  14475 Len=97"
"52","0.143705","184.162.145.57","192.168.0.111","UDP","993","12136  >  14475 Len=951"
"53","0.157749","184.162.145.57","192.168.0.111","UDP","993","12136  >  14475 Len=951"
"54","0.158192","184.162.145.57","192.168.0.111","UDP","993","12136  >  14475 Len=951"
"55","0.158254","192.168.0.111","184.162.145.57","UDP","297","14475  >  12136 Len=255"
"56","0.158419","184.162.145.57","192.168.0.111","UDP","992","12136  >  14475 Len=950"
"57","0.158632","184.162.145.57","192.168.0.111","UDP","992","12136  >  14475 Len=950"
"58","0.158632","184.162.145.57","192.168.0.111","UDP","142","12136  >  14475 Len=100"
"59","0.168807","192.168.0.111","184.162.145.57","UDP","133","14475  >  12136 Len=91"
"60","0.172126","184.162.145.57","192.168.0.111","UDP","927","12136  >  14475 Len=885"
"61","0.180642","184.162.145.57","192.168.0.111","UDP","927","12136  >  14475 Len=885"
"62","0.180712","184.162.145.57","192.168.0.111","UDP","927","12136  >  14475 Len=885"
"63","0.180712","184.162.145.57","192.168.0.111","UDP","927","12136  >  14475 Len=885"
"64","0.180927","184.162.145.57","192.168.0.111","UDP","926","12136  >  14475 Len=884"
"65","0.180927","184.162.145.57","192.168.0.111","UDP","160","12136  >  14475 Len=118"
"66","0.181106","192.168.0.111","184.162.145.57","UDP","130","14475  >  12136 Len=88"
"67","0.181142","192.168.0.111","184.162.145.57","UDP","162","14475  >  12136 Len=120"
"68","0.193783","184.162.145.57","192.168.0.111","UDP","143","12136  >  14475 Len=101"
"69","0.200988","184.162.145.57","192.168.0.111","UDP","934","12136  >  14475 Len=892"
"70","0.201108","192.168.0.111","184.162.145.57","UDP","1291","14475  >  12136 Len=1249"
"71","0.201149","192.168.0.111","184.162.145.57","UDP","130","14475  >  12136 Len=88"
"72","0.211028","192.168.0.111","184.162.145.57","UDP","89","14475  >  12136 Len=47"
"73","0.218863","184.162.145.57","192.168.0.111","UDP","934","12136  >  14475 Len=892"
"74","0.219030","184.162.145.57","192.168.0.111","UDP","934","12136  >  14475 Len=892"
"75","0.219088","192.168.0.111","184.162.145.57","UDP","1290","14475  >  12136 Len=1248"
"76","0.219153","192.168.0.111","184.162.145.57","UDP","1290","14475  >  12136 Len=1248"
"77","0.219168","192.168.0.111","184.162.145.57","UDP","1290","14475  >  12136 Len=1248"
"78","0.219181","192.168.0.111","184.162.145.57","UDP","1290","14475  >  12136 Len=1248"
"79","0.219194","192.168.0.111","184.162.145.57","UDP","1290","14475  >  12136 Len=1248"
"80","0.219207","192.168.0.111","184.162.145.57","UDP","1290","14475  >  12136 Len=1248"
