"No.","Time","Source","Destination","Protocol","Length","Info"
"21","1.940759","192.168.0.111","160.36.131.221","TCP","66","63780  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"22","2.014836","160.36.131.221","192.168.0.111","TCP","66","80  >  63780 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"23","2.014956","192.168.0.111","160.36.131.221","TCP","54","63780  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"26","3.106779","192.168.0.111","160.36.131.221","HTTP","473","GET /lapack/lapack-3.7.1.tgz HTTP/1.1 "
"27","3.173978","160.36.131.221","192.168.0.111","TCP","60","80  >  63780 [ACK] Seq=1 Ack=420 Win=15744 Len=0"
"28","3.174993","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=1 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"29","3.175742","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=1461 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"30","3.175742","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=2921 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"31","3.175742","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=4381 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"32","3.175826","192.168.0.111","160.36.131.221","TCP","54","63780  >  80 [ACK] Seq=420 Ack=5841 Win=262656 Len=0"
"33","3.175869","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=5841 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"34","3.175869","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=7301 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"35","3.175869","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=8761 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"36","3.175941","192.168.0.111","160.36.131.221","TCP","54","63780  >  80 [ACK] Seq=420 Ack=10221 Win=262656 Len=0"
"37","3.175984","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=10221 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"38","3.175984","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=11681 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"39","3.175984","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=13141 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"40","3.176031","192.168.0.111","160.36.131.221","TCP","54","63780  >  80 [ACK] Seq=420 Ack=14601 Win=262656 Len=0"
"41","3.235600","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=14601 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"42","3.235834","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [PSH, ACK] Seq=16061 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"43","3.235834","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=17521 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"44","3.235834","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=18981 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"45","3.235873","192.168.0.111","160.36.131.221","TCP","54","63780  >  80 [ACK] Seq=420 Ack=20441 Win=262656 Len=0"
"46","3.236021","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=20441 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"47","3.236021","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=21901 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"48","3.236021","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=23361 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"49","3.236050","192.168.0.111","160.36.131.221","TCP","54","63780  >  80 [ACK] Seq=420 Ack=24821 Win=262656 Len=0"
"50","3.236088","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=24821 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"51","3.236088","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=26281 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"52","3.236088","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=27741 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"53","3.236132","192.168.0.111","160.36.131.221","TCP","54","63780  >  80 [ACK] Seq=420 Ack=29201 Win=262656 Len=0"
"54","3.236353","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=29201 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"55","3.236353","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=30661 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"56","3.236389","192.168.0.111","160.36.131.221","TCP","54","63780  >  80 [ACK] Seq=420 Ack=32121 Win=262656 Len=0"
"57","3.313873","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=32121 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"58","3.314108","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=33581 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"59","3.314108","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=35041 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"60","3.314108","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=36501 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"61","3.314137","192.168.0.111","160.36.131.221","TCP","54","63780  >  80 [ACK] Seq=420 Ack=37961 Win=262656 Len=0"
"62","3.314259","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=37961 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"63","3.314470","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=39421 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"64","3.314470","160.36.131.221","192.168.0.111","TCP","1514","80  >  63780 [ACK] Seq=40881 Ack=420 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
