"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.137","160.36.131.221","TCP","54","63582  >  80 [FIN, ACK] Seq=1 Ack=1 Win=513 Len=0"
"2","0.000126","192.168.0.137","160.36.131.221","TCP","54","63581  >  80 [FIN, ACK] Seq=1 Ack=1 Win=513 Len=0"
"18","0.077206","160.36.131.221","192.168.0.137","TCP","54","80  >  63582 [ACK] Seq=1 Ack=2 Win=123 Len=0"
"19","0.077206","160.36.131.221","192.168.0.137","TCP","54","80  >  63581 [ACK] Seq=1 Ack=2 Win=140 Len=0"
"5909","6.356084","192.168.0.137","160.36.131.221","TCP","66","63589  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"5910","6.356229","192.168.0.137","160.36.131.221","TCP","66","63590  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"5915","6.424841","160.36.131.221","192.168.0.137","TCP","66","80  >  63589 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"5916","6.424841","160.36.131.221","192.168.0.137","TCP","66","80  >  63590 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"5917","6.424935","192.168.0.137","160.36.131.221","TCP","54","63589  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"5918","6.424985","192.168.0.137","160.36.131.221","TCP","54","63590  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"5919","6.425196","192.168.0.137","160.36.131.221","HTTP","574","GET /lapack/lapack-3.8.0.tar.gz HTTP/1.1 "
"5927","6.508987","160.36.131.221","192.168.0.137","TCP","54","80  >  63590 [ACK] Seq=1 Ack=521 Win=15744 Len=0"
"5928","6.508987","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=1 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5929","6.510779","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=1461 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5930","6.510779","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=2921 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5931","6.510779","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=4381 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5932","6.510779","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=5841 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5933","6.510779","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=7301 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5934","6.510779","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=8761 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5935","6.510779","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=10221 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5936","6.510779","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=11681 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5937","6.510779","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=13141 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5938","6.510941","192.168.0.137","160.36.131.221","TCP","54","63590  >  80 [ACK] Seq=521 Ack=14601 Win=131328 Len=0"
"5942","6.576506","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=14601 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5943","6.576506","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [PSH, ACK] Seq=16061 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5944","6.576506","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=17521 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5945","6.576506","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=18981 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5946","6.576506","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=20441 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5947","6.576506","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=21901 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5948","6.576506","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=23361 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5949","6.576506","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=24821 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5950","6.576506","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=26281 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5951","6.576506","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=27741 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5952","6.576506","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=29201 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5953","6.576587","192.168.0.137","160.36.131.221","TCP","54","63590  >  80 [ACK] Seq=521 Ack=30661 Win=131328 Len=0"
"5954","6.644428","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=30661 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5955","6.644428","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=32121 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5956","6.644428","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=33581 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5957","6.644428","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=35041 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5958","6.644428","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=36501 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"5959","6.644428","160.36.131.221","192.168.0.137","TCP","1514","80  >  63590 [ACK] Seq=37961 Ack=521 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
